s2id,longitude,latitude,label,sublabel,iso3,source
8facbca3,-79.65863093729601,8.84979275837327,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fa50373,-82.83982853118104,8.28027168478112,Puerto Armuelles,Chiriquí,PAN,buffer
8fae1137,-81.06718628226862,7.925920000955887,Puerto Mutis,Veraguas,PAN,buffer
8facbd33,-79.70913681393978,8.867510625440033,Puerto Caimito,Panamá Oeste,PAN,buffer
8fad9073,-80.28509288745333,7.87076381535552,Búcaro,Los Santos,PAN,buffer
8fadbded,-80.34637535845074,8.033655898844072,Boca Parita,Herrera,PAN,buffer
8e54a22f,-79.05603110054679,9.120841513881368,Puerto Coquira,Panamá,PAN,buffer
8fa576ef,-82.44548568741834,8.354542574246677,Puerto Pedregal,Chiriquí,PAN,buffer
8faca2b5,-79.72035647915453,8.873261774460131,Puerto Caimito,Panamá Oeste,PAN,buffer
8faca8b7,-79.54067379603453,8.960758403056003,Puerto Panamá,Panamá,PAN,buffer
8fadbe05,-80.37421627830238,8.028921513949435,Boca Parita,Herrera,PAN,buffer
8fadc905,-80.50772367979694,8.247980951535588,Puerto Aguadulce,Coclé,PAN,buffer
8fafbcd3,-81.8142380364605,8.222644118415133,Puerto Remedios,Chiriquí,PAN,buffer
8fa57651,-82.44006794397698,8.376194052478045,Puerto Pedregal,Chiriquí,PAN,buffer
8fadbe1b,-80.37978335354741,8.029052059852374,Boca Parita,Herrera,PAN,buffer
8e4df3fb,-78.21058572338487,7.5297444854408875,Puerto Piña,Darién,PAN,buffer
8e54a3cb,-79.06733024322057,9.132081859386329,Puerto Coquira,Panamá,PAN,buffer
8facbcb3,-79.66424410399053,8.866266484070254,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8e4df155,-78.1991896022672,7.534752877315037,Puerto Piña,Darién,PAN,buffer
8faca8db,-79.52381025543345,8.965723758849263,Puerto Panamá,Panamá,PAN,buffer
8faca8df,-79.51818838226727,8.971008688622677,Puerto Panamá,Panamá,PAN,buffer
