s2cell_id,lat,lon,geom_point,n_vessel,label,sublabel
3672581987408805888,6.087830352,125.1543721,POINT(125.154372086721 6.08783035230352),2,General Santos,PHL
7547879748219699200,-4.2011,152.1688,POINT(152.1688 -4.2011),1,Rabaul,PNG
3777961037240729600,22.61239167,120.2746583,POINT(120.274658333333 22.6123916666667),1,Qianzhen,TWN
3672586041857933312,5.955076259,125.1003353,POINT(125.100335251799 5.95507625899281),1,General Santos,PHL
7547879507701530624,-4.231665228,152.1566706,POINT(152.15667061209 -4.2316652281571),9,Rabaul,PNG
8009753556204650496,-9.424287865,159.9720385,POINT(159.972038545901 -9.42428786531722),2,Honiara,SLB
3672596865175519232,5.952139912,125.1010621,POINT(125.101062144816 5.95213991184401),4,General Santos,PHL
3672587210089037824,6.005270495,125.1320968,POINT(125.132096778089 6.00527049521671),8,General Santos,PHL
7564389568145784832,-6.742160526,146.9862,POINT(146.9862 -6.74216052631579),1,Lae,PNG
7547879542061268992,-4.231026438,152.1610132,POINT(152.161013172022 -4.23102643753946),36,Rabaul,PNG
3777961105960206336,22.60118571,120.2873667,POINT(120.287366666667 22.6011857142857),1,Qianzhen,TWN
7563208761377030144,-5.076679661,145.8041633,POINT(145.804163277258 -5.07667966094913),13,Madang,PNG
3777961174679683072,22.57950684,120.2973492,POINT(120.297349162155 22.5795068385027),1,Qianzhen,TWN
7563208658297815040,-5.080303389,145.8041051,POINT(145.80410509857 -5.0803033890776),9,Madang,PNG
3777960315686223872,22.56587007,120.314038,POINT(120.314037956204 22.5658700729927),1,Qianzhen,TWN
3777961243399159808,22.59680211,120.2856342,POINT(120.285634208787 22.5968021064071),2,Qianzhen,TWN
7547878992305455104,-4.244118586,152.1730776,POINT(152.17307759363 -4.244118585832),1,Rabaul,PNG
7547879576421007360,-4.223594553,152.1628972,POINT(152.162897183112 -4.22359455273542),37,Rabaul,PNG
8009753624924127232,-9.429740872,159.9597669,POINT(159.95976686238 -9.4297408717716),1,Honiara,SLB
3777961140319944704,22.59661988,120.286932,POINT(120.28693200868 22.596619879998),1,Qianzhen,TWN
7547876277886124032,-4.265619175,152.2044916,POINT(152.20449162748 -4.265619174577),1,Rabaul,PNG
7547876140447170560,-4.260495838,152.1860043,POINT(152.18600428721 -4.26049583785575),13,Rabaul,PNG
7547878545628856320,-4.229472727,152.1715636,POINT(152.171563636364 -4.22947272727273),3,Rabaul,PNG
